player_name,team,class_year,position,games_played,archetype_id,archetype_name,proj_salary_low,proj_salary_mid,proj_salary_high,pts_per_game,fg_pct,fg3_pct,ft_pct,ast_pct,reb_pct,blk_per_game,stl_per_game,usg_pct,ts_pct,Player,Draft_Prob
Mary Ferrito,UNC Wilmington Seahawks Women's,SR,G,30.0,1,Bench Guard/Wing,453122,533085,613047,6.3,0.314,0.299,0.781,0.133,0.043,0.2,0.8,0.166,0.453,Mary Ferrito,5.5926276904414416e-05
Torin Rogers,UNC Wilmington Seahawks Women's,SR,G,29.0,1,Bench Guard/Wing,456255,536770,617286,6.5,0.385,0.366,0.641,0.079,0.082,0.4,0.8,0.152,0.491,Torin Rogers,4.3057285933348394e-05
Jeni Levine,UNC Greensboro Spartans Women's,SR,G,30.0,2,High-Volume Wing/Guard,585532,688861,792191,13.9,0.377,0.296,0.712,0.212,0.074,0.3,1.4,0.265,0.472,Jeni Levine,0.0006510262912512384
Rylan Moffitt,UNC Greensboro Spartans Women's,SR,F,30.0,3,Interior Specialist,450286,529748,609210,6.2,0.435,0.222,0.676,0.083,0.16,1.2,1.0,0.162,0.462,Rylan Moffitt,3.4788700181964925e-05
Tasia Johnson,UNC Greensboro Spartans Women's,SR,G,27.0,1,Bench Guard/Wing,461332,542743,624155,6.8,0.343,0.385,0.656,0.188,0.059,0.2,1.3,0.14,0.491,Tasia Johnson,1.1649443524823208e-05
Aileen Marquez,UNC Asheville Bulldogs Women's,SR,G,30.0,1,Bench Guard/Wing,483370,568670,653971,8.1,0.306,0.296,0.737,0.079,0.047,0.2,0.9,0.211,0.445,Aileen Marquez,1.7244123323754433e-05
D'Yanna Maxey,UNC Asheville Bulldogs Women's,SR,G,27.0,1,Bench Guard/Wing,430522,506496,582471,5.0,0.328,0.286,0.592,0.15,0.041,0.0,0.8,0.149,0.429,D'Yanna Maxey,3.3368528919210706e-05
Lauren Betts,UCLA Bruins Women's,SR,C,37.0,0,Elite Two-Way Big,642501,755884,869266,17.1,0.582,0.0,0.686,0.212,0.18,2.1,1.0,0.285,0.597,Lauren Betts,0.8191930332961821
Kiki Rice,UCLA Bruins Women's,SR,G,38.0,2,High-Volume Wing/Guard,603157,709597,816037,14.9,0.49,0.385,0.902,0.217,0.108,0.4,1.5,0.218,0.603,Kiki Rice,0.8298938397737965
Gabriela Jaquez,UCLA Bruins Women's,SR,F,38.0,4,Efficient Role Player,577361,679248,781136,13.5,0.539,0.39,0.86,0.105,0.102,0.1,1.1,0.193,0.647,Gabriela Jaquez,0.7439845476097386
Gianna Kneepkens,UCLA Bruins Women's,SR,G,38.0,2,High-Volume Wing/Guard,565701,665530,765360,12.8,0.493,0.429,0.933,0.161,0.063,0.2,1.1,0.192,0.633,Gianna Kneepkens,0.8300168298053224
Angela Dugalić,UCLA Bruins Women's,SR,F,38.0,0,Elite Two-Way Big,498452,586414,674376,9.0,0.502,0.326,0.741,0.138,0.135,0.6,1.1,0.194,0.575,Angela Dugalić,0.9118293568814906
Charlisse Leger-Walker,UCLA Bruins Women's,SR,G,38.0,2,High-Volume Wing/Guard,487995,574112,660228,8.4,0.457,0.355,0.641,0.289,0.081,0.3,1.6,0.166,0.557,Charlisse Leger-Walker,0.8076661758777823
Jacorriah Bracey,UCF Knights Women's,SR,G,30.0,1,Bench Guard/Wing,459372,540437,621503,6.7,0.37,0.159,0.706,0.125,0.05,0.1,0.7,0.212,0.408,Jacorriah Bracey,9.439207190249031e-05
Kristol Ayson,UCF Knights Women's,SR,G,30.0,1,Bench Guard/Wing,441232,519096,596961,5.6,0.392,0.211,0.673,0.176,0.067,0.3,0.9,0.168,0.466,Kristol Ayson,3.816405022167389e-05
Jessica Grant,UC Santa Barbara Gauchos Women's,SR,G,30.0,1,Bench Guard/Wing,430522,506496,582471,5.0,0.368,0.364,1.0,0.09,0.035,0.3,0.2,0.125,0.548,Jessica Grant,0.000683788884799027
Makayla Rose,UC San Diego Tritons Women's,SR,G,33.0,2,High-Volume Wing/Guard,561457,660537,759618,12.6,0.412,0.271,0.722,0.111,0.071,0.1,3.1,0.199,0.48,Makayla Rose,5.2708170610559864e-05
Sabrina Ma,UC San Diego Tritons Women's,SR,G,33.0,2,High-Volume Wing/Guard,540643,636050,731458,11.4,0.377,0.317,0.863,0.103,0.074,0.5,1.5,0.184,0.509,Sabrina Ma,4.754148106579649e-06
Seneca Hackley,UC Riverside Highlanders Women's,SR,G,32.0,2,High-Volume Wing/Guard,515726,606737,697747,10.0,0.357,0.323,0.85,0.15,0.071,0.4,1.7,0.2,0.483,Seneca Hackley,5.815422898153194e-06
Bria Shine,UC Riverside Highlanders Women's,SR,G,32.0,1,Bench Guard/Wing,577230,679094,780958,4.4,0.383,0.143,0.316,0.134,0.095,0.5,1.0,0.122,0.394,Bria Shine,1.7042901126364155e-05
Hunter Hernandez,UC Irvine Anteaters Women's,SR,G,33.0,2,High-Volume Wing/Guard,692393,814580,936767,19.8,0.394,0.369,0.854,0.168,0.096,0.2,1.2,0.313,0.525,Hunter Hernandez,0.0007405155754607617
Jada Wynn,UC Irvine Anteaters Women's,SR,G,33.0,2,High-Volume Wing/Guard,605113,711897,818682,15.0,0.386,0.402,0.866,0.258,0.119,0.4,1.7,0.24,0.566,Jada Wynn,0.005645105969231265
Nya Epps,UC Davis Aggies Women's,SR,G,34.0,2,High-Volume Wing/Guard,569482,669979,770476,13.0,0.377,0.284,0.807,0.109,0.069,0.3,1.1,0.258,0.472,Nya Epps,0.00011783166655234853
Megan Norris,UC Davis Aggies Women's,SR,C,34.0,0,Elite Two-Way Big,554409,652246,750083,12.2,0.467,0.324,0.742,0.168,0.194,1.4,0.9,0.187,0.567,Megan Norris,5.250662599269281e-05
Molly Moffitt,UAB Blazers Women's,SR,F,30.0,4,Efficient Role Player,544262,640308,736354,11.6,0.451,0.357,0.857,0.097,0.106,0.5,0.4,0.224,0.536,Molly Moffitt,6.881767971826018e-05
Monae' Duffy,UAB Blazers Women's,SR,F,30.0,3,Interior Specialist,512790,603282,693774,9.8,0.558,0.25,0.573,0.085,0.172,0.3,0.8,0.196,0.566,Monae' Duffy,6.390169293798746e-05
Hannah Riddick,Tulsa Golden Hurricane Women's,SR,F,29.0,0,Elite Two-Way Big,610129,717799,825469,15.3,0.506,0.3,0.654,0.18,0.143,0.8,1.1,0.298,0.547,Hannah Riddick,0.00013444752175655817
Amira Mabry,Tulane Green Wave Women's,SR,F,31.0,4,Efficient Role Player,515147,606055,696964,9.9,0.453,0.284,0.79,0.081,0.106,0.5,0.7,0.181,0.536,Amira Mabry,4.351423821406368e-05
CC Mays,Tulane Green Wave Women's,SR,G,27.0,1,Bench Guard/Wing,465763,547957,630150,7.1,0.328,0.247,0.75,0.166,0.087,0.1,1.3,0.208,0.435,CC Mays,1.5920024580942493e-05
Fortuna Ngnawo,Troy Trojans Women's,SR,F,32.0,0,Elite Two-Way Big,608487,715868,823248,15.2,0.438,0.273,0.77,0.094,0.171,1.1,1.2,0.25,0.496,Fortuna Ngnawo,0.004482641478195439
Zay Dyer,Troy Trojans Women's,SR,F,33.0,0,Elite Two-Way Big,589418,693433,797448,14.2,0.424,0.25,0.615,0.114,0.194,1.5,1.1,0.234,0.466,Zay Dyer,0.0019375757897628495
Emani Jenkins,Troy Trojans Women's,SR,G,33.0,2,High-Volume Wing/Guard,541707,637302,732897,11.5,0.385,0.402,0.833,0.107,0.055,0.2,0.9,0.219,0.545,Emani Jenkins,3.7374409078615625e-05
Ashley Baez,Troy Trojans Women's,SR,G,33.0,2,High-Volume Wing/Guard,527373,620438,713504,10.6,0.403,0.356,0.771,0.227,0.05,0.1,1.5,0.208,0.548,Ashley Baez,1.5608294566271447e-05
Rachel Leggett,Troy Trojans Women's,SR,G,33.0,3,Interior Specialist,521023,612969,704914,10.3,0.514,0.258,0.683,0.125,0.095,0.2,1.7,0.165,0.561,Rachel Leggett,0.0005774653498547286
India Johnston,Towson Tigers Women's,SR,G,31.0,2,High-Volume Wing/Guard,622513,732368,842224,16.0,0.416,0.337,0.806,0.193,0.038,0.2,0.9,0.262,0.541,India Johnston,0.0008437837230682168
Tilda Sjokvist,Towson Tigers Women's,SR,G,31.0,1,Bench Guard/Wing,465048,547115,629182,7.0,0.357,0.338,0.526,0.247,0.054,0.1,0.5,0.19,0.462,Tilda Sjokvist,5.36318238833426e-05
Semaya Turner,Towson Tigers Women's,SR,G,31.0,3,Interior Specialist,433790,510341,586892,5.2,0.451,0.154,0.569,0.061,0.129,0.2,1.0,0.13,0.491,Semaya Turner,2.1186859670663537e-05
Patricia Anumgba,Toledo Rockets Women's,SR,G,32.0,2,High-Volume Wing/Guard,570069,670669,771269,13.1,0.397,0.342,0.813,0.152,0.071,0.0,1.9,0.252,0.506,Patricia Anumgba,1.8968298386327123e-05
Charlotte O'Keefe,Texas-Rio Grande Valley Vaqueros Women's,SR,F,29.0,0,Elite Two-Way Big,559205,657888,756571,12.4,0.484,0.385,0.702,0.178,0.2,1.5,1.3,0.184,0.558,Charlotte O'Keefe,0.0007199706971796342
Bailey Maupin,Texas Tech Lady Raiders Women's,SR,G,34.0,2,High-Volume Wing/Guard,608784,716216,823649,15.2,0.404,0.335,0.843,0.17,0.063,0.2,1.6,0.258,0.553,Bailey Maupin,0.0045307776755728
Snudda Collins,Texas Tech Lady Raiders Women's,SR,F,34.0,2,High-Volume Wing/Guard,594058,698892,803726,14.4,0.435,0.391,0.782,0.107,0.066,0.8,0.6,0.312,0.545,Snudda Collins,0.27505391708433424
Denae Fritz,Texas Tech Lady Raiders Women's,SR,G,34.0,4,Efficient Role Player,466509,548834,631159,7.1,0.401,0.361,0.8,0.073,0.069,0.9,2.0,0.121,0.54,Denae Fritz,0.09963562287458505
Gemma Nunez,Texas Tech Lady Raiders Women's,SR,G,34.0,1,Bench Guard/Wing,433998,510586,587174,5.2,0.421,0.254,0.639,0.278,0.085,0.1,2.0,0.123,0.489,Gemma Nunez,0.0019524684833691493
Deja Jones,Texas State Bobcats Women's,SR,G,30.0,1,Bench Guard/Wing,434462,511132,587802,5.2,0.326,0.236,0.588,0.186,0.103,0.3,0.7,0.192,0.381,Deja Jones,9.340263403692099e-05
Olivia Miles,TCU Horned Frogs Women's,SR,G,38.0,2,High-Volume Wing/Guard,687457,808773,930089,19.6,0.481,0.351,0.839,0.364,0.11,0.3,1.8,0.285,0.587,Olivia Miles,0.9141627591051172
Marta Suarez,TCU Horned Frogs Women's,SR,G-F,38.0,0,Elite Two-Way Big,641498,754703,867909,17.1,0.453,0.37,0.892,0.141,0.127,0.2,1.4,0.29,0.558,Marta Suarez,0.3926042885390417
Taylor Bigby,TCU Horned Frogs Women's,SR,G,38.0,4,Efficient Role Player,485273,570910,656546,8.2,0.441,0.389,0.738,0.07,0.047,0.2,0.7,0.148,0.589,Taylor Bigby,0.07206564417158699
Chelsea Wooten,Texas A&M-Corpus Christi Islanders Women's,SR,G,28.0,2,High-Volume Wing/Guard,513162,603720,694278,9.8,0.292,0.265,0.791,0.276,0.065,0.1,1.1,0.239,0.41,Chelsea Wooten,2.264462525506971e-05
Marissa Shelton,Texas A&M-Corpus Christi Islanders Women's,SR,G,29.0,1,Bench Guard/Wing,495924,583440,670956,8.8,0.339,0.331,0.727,0.136,0.061,0.1,0.6,0.212,0.493,Marissa Shelton,4.8125190273814646e-05
Trinity Slocum,Texas A&M-Corpus Christi Islanders Women's,SR,G,28.0,1,Bench Guard/Wing,555917,654021,752124,3.3,0.283,0.139,0.587,0.3,0.094,0.1,0.7,0.172,0.36,Trinity Slocum,0.00012679725771526983
Ny'Ceara Pryor,Texas A&M Aggies Women's,SR,G,27.0,2,High-Volume Wing/Guard,627180,737859,848537,16.3,0.423,0.314,0.635,0.524,0.065,0.2,3.6,0.281,0.488,Ny'Ceara Pryor,0.18026209141784064
Rori Harmon,Texas Longhorns Women's,SR,G,39.0,2,High-Volume Wing/Guard,488716,574960,661204,8.4,0.452,0.448,0.71,0.3,0.066,0.2,2.8,0.155,0.502,Rori Harmon,0.5422348245347669
Reagan Hurst,Tennessee Tech Golden Eagles Women's,SR,G,27.0,1,Bench Guard/Wing,551952,649355,746759,12.0,0.324,0.327,0.854,0.137,0.039,0.1,0.7,0.21,0.476,Reagan Hurst,4.0066615395012807e-05
Cam Mathews,Tennessee Tech Golden Eagles Women's,SR,G,29.0,1,Bench Guard/Wing,481649,566645,651642,8.0,0.396,0.325,0.925,0.133,0.051,0.1,0.9,0.148,0.537,Cam Mathews,5.7879227384491484e-05
Kiki Roberts,Tennessee State Lady Tigers Women's,SR,F,29.0,3,Interior Specialist,444526,522972,601417,5.8,0.444,0.333,0.545,0.085,0.146,0.4,0.6,0.159,0.473,Kiki Roberts,5.560262262023139e-05
Janiah Barker,Tennessee Lady Volunteers Women's,SR,F,27.0,0,Elite Two-Way Big,591338,695692,800046,14.3,0.465,0.365,0.73,0.106,0.145,0.9,1.1,0.279,0.568,Janiah Barker,0.8322044046570483
