active,team_abbrev,player_full_name,year_signed,signed_as,incl_extension,base_salary_2020,status_2020,timeoff_bonus_2020,base_salary_2021,status_2021,timeoff_bonus_2021,base_salary_2022,status_2022,timeoff_bonus_2022,base_salary_2023,status_2023,timeoff_bonus_2023,base_salary_2024,status_2024,timeoff_bonus_2024,base_salary_2025,status_2025,timeoff_bonus_2025,base_salary_2026,status_2026,timeoff_bonus_2026,base_salary_2027,status_2027,timeoff_bonus_2027,base_salary_2028,status_2028,timeoff_bonus_2028,base_salary_2029,status_2029,timeoff_bonus_2029,base_salary_2030,status_2030,timeoff_bonus_2030,base_salary_2031,status_2031,timeoff_bonus_2031,base_salary_2032,status_2032,timeoff_bonus_2032,base_salary_2033,status_2033,timeoff_bonus_2033,comments
1,DAL,Arike Ogunbowale,2026,Core,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1190000,PV,0,1249500,PV,0,NULL,UFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,NYL,Ashley Owusu,2026,UFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270000,TC,0,NULL,Reserved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,PHX,Ashten Prechtel,2026,UFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270000,TC,0,NULL,Reserved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,MIN,Aubrey Griffin,2026,Rookie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270000,UP,0,288600,UP,0,317460,UP,0,358730,TO,0,NULL,RFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,SEA,Awa Fam,2026,Rookie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,436016,PR,0,453457,UP,0,498803,UP,0,563647,TO,0,NULL,RFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,DAL,Awak Kuier,2026,SuspCE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,525000,PV,0,NULL,RFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,CHI,Azurá Stevens,2026,UFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000000,PV,0,1050000,PV,0,1100000,PV,0,NULL,UFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,DAL,Azzi Fudd,2026,Rookie,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500000,PR,0,520000,UP,0,572000,UP,0,646360,TO,0,NULL,RFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,GSV,Bailey Maupin,2026,UDFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270000,TC,0,NULL,Reserved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,SEA,Beatrice Mompremier,2026,UFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,277500,TC,0,NULL,RFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,ATL,Bella Fontleroy,2026,UDFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270000,TC,0,NULL,Reserved,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1,LVA,Brianna Turner,2026,UFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,277500,TC,0,NULL,UFA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
