PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,player_norm,player_full_name,team_abbrev,old_salary,old_salary_year,signed_as,projected_new_salary
1641658,Grace Berger,IND,26.0,11,9.3,2.8,0.9,2.3,0.4,0.2,0.5,0.4,0.8,1.3,0.643,0.4,1.0,1.4,0.6,0.5,0.0,0.9,100.0,108.2,-8.2,0.127,0.7,14.6,0.047,0.102,0.078,0.44,0.497,0.175,98.33,0.041,grace berger,Grace Berger,MIN,79999.0,2025,,445168.0
1641650,Haley Jones,ATL,24.0,40,17.8,3.9,1.5,3.7,0.397,0.2,0.7,0.214,0.8,1.2,0.702,0.3,2.0,2.2,2.1,0.4,0.3,1.7,91.2,98.0,-6.8,0.196,1.24,26.4,0.014,0.107,0.06,0.418,0.465,0.142,97.34,0.041,haley jones,Haley Jones,ATL,79999.0,2025,,445168.0
204330,Isabelle Harrison,CHI,31.0,36,16.3,6.5,2.6,6.6,0.399,0.1,0.5,0.167,1.1,1.4,0.82,1.1,2.9,3.9,0.8,0.6,0.3,1.1,91.2,104.8,-13.6,0.084,0.69,8.3,0.063,0.182,0.12,0.405,0.45,0.217,98.2,0.09,isabelle harrison,Isabelle Harrison,CHI,160000.0,2024,UFA,693395.0
1641602,Ivana Dojkić,NYL,27.0,26,9.9,3.3,1.0,2.8,0.338,0.6,1.6,0.381,0.8,1.0,0.778,0.3,0.5,0.8,0.8,0.3,0.0,0.5,101.8,98.7,3.1,0.121,1.43,16.5,0.038,0.055,0.046,0.446,0.507,0.169,101.46,0.042,ivana dojkic,Ivana Dojkić,NYL,64154.0,2024,UFA,297599.0
1629498,Jackie Young,LVA,27.0,37,32.6,15.8,5.4,12.6,0.43,1.9,5.6,0.337,3.0,3.5,0.867,0.7,3.6,4.4,5.3,1.0,0.2,2.1,105.1,99.2,5.9,0.271,2.53,24.8,0.022,0.108,0.067,0.505,0.557,0.22,98.2,0.116,jackie young,Jackie Young,LVA,169950.0,2025,,728138.0
1642292,Jacy Sheldon,DAL,24.0,40,23.3,5.4,2.0,5.3,0.386,0.8,2.4,0.309,0.6,0.7,0.926,0.7,1.4,2.1,2.5,0.6,0.3,1.6,99.7,112.2,-12.5,0.156,1.57,25.8,0.028,0.063,0.045,0.457,0.489,0.128,99.06,0.035,jacy sheldon,Jacy Sheldon,WAS,74909.0,2025,Rookie,296380.0
1631141,Jade Melbourne,WAS,22.0,37,14.2,5.4,1.9,4.5,0.434,0.5,1.5,0.357,0.9,1.3,0.714,0.4,1.1,1.5,1.6,0.6,0.1,1.7,93.9,94.1,-0.2,0.199,0.95,19.2,0.025,0.079,0.053,0.494,0.53,0.202,98.93,0.069,jade melbourne,Jade Melbourne,WAS,66710.0,2025,,279686.0
1642240,Jaelyn Brown,DAL,26.0,14,10.1,2.6,1.1,2.2,0.484,0.4,0.9,0.5,0.1,0.2,0.333,0.5,1.0,1.5,0.4,0.3,0.3,0.9,92.0,116.4,-24.4,0.07,0.5,12.0,0.041,0.099,0.067,0.581,0.572,0.123,102.07,0.043,jaelyn brown,Jaelyn Brown,IND,66079.0,2025,Reserved,281106.0
1642309,Jakia Brown-Turner,WAS,24.0,2,4.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,76.5,118.8,-42.3,0.0,0.0,0.0,0.0,0.167,0.067,0.0,0.532,0.095,99.35,0.125,jakia brown-turner,Jakia Brown-Turner,WAS,64154.0,2024,UDFA,279584.0
1642320,Jaylyn Sherrod,NYL,23.0,10,3.7,1.9,0.7,1.4,0.5,0.2,0.6,0.333,0.3,0.6,0.5,0.2,0.1,0.3,0.5,0.3,0.1,0.2,100.0,84.9,15.1,0.25,2.5,20.8,0.048,0.032,0.041,0.571,0.571,0.211,95.51,0.133,jaylyn sherrod,Jaylyn Sherrod,NYL,66079.0,2025,Reserved,281106.0
1642305,Jessika Carter,LVA,25.0,2,2.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,130.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,111.54,-0.222,jessika carter,Jessika Carter,NYL,68595.0,2025,Rookie,277604.0
