PLAYER_NAME,TEAM_ABBREVIATION,archetype_id,old_salary,PTS,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TO,STL,BLK,USG_PCT,FG3A
Naz Hillmon,ATL,4,80823.0,5.7,0.552,0.333,0.762,0.555,0.6,0.069,0.157,0.11,0.1,1.3,0.7,0.3,0.113,0.1
Nia Coffey,ATL,1,150000.0,3.3,0.324,0.273,0.762,0.385,0.413,0.034,0.131,0.084,0.154,1.2,0.3,0.7,0.159,1.7
Nneka Ogwumike,SEA,0,204500.0,16.7,0.511,0.405,0.876,0.542,0.578,0.058,0.179,0.118,0.124,1.769230769230769,1.9,0.5,0.214,2.0
Nyara Sabally,NYL,3,79999.0,4.9,0.575,0.0,0.7,0.575,0.612,0.093,0.204,0.147,0.07,1.2,0.9,0.7,0.138,0.1
Odyssey Sims,LAS,2,111520.0,12.6,0.483,0.345,0.762,0.525,0.56,0.025,0.053,0.038,0.295,2.4090909090909087,1.2,0.2,0.195,2.4
Olivia Nelson-Ododa,CON,3,80823.0,3.4,0.495,0.0,0.659,0.495,0.534,0.074,0.148,0.112,0.033,0.25,0.4,0.6,0.146,0.0
Rachel Banham,CHI,1,95000.0,5.7,0.351,0.366,0.8,0.48,0.498,0.011,0.081,0.045,0.117,2.2,0.4,0.2,0.167,3.8
Rae Burrell,LAS,1,125000.0,5.9,0.362,0.333,0.78,0.436,0.531,0.036,0.086,0.06,0.12,1.1,0.8,0.3,0.18,1.9
Rebecca Allen,PHO,4,160000.0,7.4,0.421,0.357,0.667,0.52,0.522,0.031,0.126,0.081,0.065,1.1,0.9,0.7,0.142,3.9
Rhyne Howard,ATL,2,91981.0,17.3,0.371,0.329,0.784,0.46,0.51,0.023,0.106,0.063,0.174,1.823529411764706,1.8,0.6,0.242,8.1
Rickea Jackson,LAS,4,78066.0,13.4,0.456,0.347,0.807,0.505,0.547,0.043,0.094,0.068,0.098,0.7894736842105263,0.7,0.4,0.211,3.1
Sabrina Ionescu,NYL,2,208060.0,18.2,0.394,0.333,0.898,0.483,0.525,0.023,0.113,0.069,0.327,2.2962962962962963,1.0,0.3,0.268,8.4
Sami Whitcomb,SEA,1,150350.0,5.0,0.346,0.292,0.818,0.459,0.47,0.023,0.098,0.059,0.165,1.6,0.8,0.2,0.173,4.0
Satou Sabally,DAL,2,215000.0,17.9,0.426,0.452,0.779,0.517,0.563,0.033,0.156,0.092,0.221,2.0,1.3,0.5,0.218,5.6
Sevgi Uzun,DAL,1,64154.0,4.4,0.342,0.238,0.826,0.392,0.418,0.011,0.068,0.039,0.208,1.6666666666666665,0.9,0.3,0.141,2.1
Shakira Austin,WAS,0,91981.0,11.8,0.43,0.25,0.667,0.434,0.487,0.088,0.249,0.169,0.091,0.375,1.3,0.9,0.304,0.3
Shatori Walker-Kimbrough,WAS,1,150000.0,7.5,0.415,0.33,0.806,0.484,0.529,0.015,0.064,0.04,0.141,1.3571428571428572,1.1,0.5,0.163,2.7
Skylar Diggins,SEA,2,234350.0,15.1,0.427,0.291,0.867,0.466,0.525,0.022,0.06,0.041,0.332,2.285714285714286,1.7,0.9,0.233,3.4
Sophie Cunningham,PHO,4,154500.0,8.4,0.429,0.378,0.87,0.571,0.618,0.015,0.12,0.07,0.114,2.0,1.0,0.3,0.123,4.5
Stefanie Dolson,WAS,4,175000.0,9.5,0.475,0.465,0.786,0.604,0.621,0.034,0.161,0.098,0.171,1.5294117647058825,0.5,0.5,0.158,4.0
Stephanie Talbot,LAS,1,125000.0,3.5,0.395,0.26,0.69,0.448,0.479,0.035,0.148,0.089,0.192,2.1,0.5,0.5,0.126,1.4
Sug Sutton,WAS,1,78831.0,2.3,0.308,0.25,0.692,0.372,0.4,0.016,0.059,0.037,0.252,1.7500000000000002,0.6,0.0,0.133,1.4
Teaira McCowan,DAL,3,201400.0,11.7,0.57,0.25,0.718,0.571,0.607,0.111,0.212,0.16,0.101,0.8,0.9,0.9,0.193,0.1
Temi Fágbénlé,IND,3,90000.0,6.4,0.509,0.167,0.786,0.518,0.554,0.077,0.171,0.125,0.077,0.75,0.5,0.7,0.155,0.5
Tiffany Hayes,LVA,4,215000.0,9.5,0.5,0.402,0.714,0.575,0.609,0.039,0.092,0.066,0.161,2.625,0.8,0.3,0.178,2.5
Tiffany Mitchell,CON,1,148400.0,4.9,0.349,0.25,0.783,0.376,0.457,0.03,0.066,0.049,0.081,1.3333333333333335,0.5,0.0,0.167,1.0
Tina Charles,ATL,0,175000.0,14.9,0.456,0.262,0.785,0.466,0.501,0.08,0.24,0.159,0.152,1.4374999999999998,0.9,0.5,0.241,1.1
Tyasha Harris,CON,2,100013.0,10.5,0.425,0.395,0.766,0.513,0.546,0.009,0.057,0.032,0.174,2.142857142857143,1.0,0.3,0.169,3.9
Veronica Burton,CON,1,88261.0,3.1,0.361,0.351,0.838,0.451,0.544,0.036,0.081,0.059,0.22,3.8,0.5,0.2,0.118,1.2
Victoria Vivians,SEA,1,85000.0,3.1,0.333,0.319,0.667,0.423,0.433,0.038,0.115,0.074,0.095,1.3333333333333335,0.4,0.2,0.137,2.0
